particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x.x,y.x,file_name,license,col_id,session_id,file_id.x,x.y,y.y,SpectrumID,Organization,SpectrumType,SpectrumIdentity,Polymer.Category,LibraryType,OWNER,SpectralCollectionMode,Preprocessing,InstrumentUsed,RRUFFID,IDEAL CHEMISTRY,LOCALITY,SOURCE,STATUS,URL,MEASURED CHEMISTRY,OtherInformation,JCAMP-DX,YFACTOR,YUNITS,InstrumentMode,DELTAX,Sponsor,Color,Cell,ID,Comment,cell_plate_id,Form..film..foam.pliable..hard.,Brand,Item,Location,Notes,Longest.dimension,Width,Depth,Particle.mass..mg.,Tg..oC.,Tm..oC.,Onset....,Enthalpy..J.g.,Substance,Form,Colour,Filename,SourceDatabase,Method...49,File,QA/QC,Natural /Synthetic,Plastic/other,framework,Abbreviation,Source ID,Method...57,morphology,color,final_polymer_assignment,Citation,Plate,Itteration,SpectralResolution,InstrumentAccessories,Wavenumber_Range,PIN_ID,ORIENTATION,ID merged database,Database ID WWTP Paper/Kirstie/FLOPPE...70,Database ID WWTP Paper/Kirstie/FLOPPE...71,ID (ESM1),Longest_dimension,width,Cluster2018/WWTP,PRESSURE,TEMPERATURE,MaterialForm,MaterialProducer,NumberofAccumulations,TIME,Ratio against background,Truncated,ElementMultiply or ElementDivide,Collection length,Apodization,Bench serial number,Subtraction or Addition,Baseline Correction,Smooth,%Transmittance->Absorbance,Sample gain,Number of background scans,Background gain,Sample spacing,Number of scan points,Resolution points,Number of FFT points,ZPD,Library ID Shortform,Grating,Hole size (nm),Slit (um),Filter (%),Delay (s),DATE,MOLFORM,$NIST SOURCE,$NIST DOC FILE,$NIST PSD FILE,APERTURE,BEAMSPLITTER,DETECTOR (DIA. DET. PORT IN SPHERE),SPHERE DIAMETER,ACQUISITION MODE,SCANNER SPEED,PHASE CORRECTION,ZEROFILLING,WAVENUMBER ACCURACY,LOW PASS FILTER,SWITCH GAIN ON,$NIST ID,COADDED SCANS,PHASE RESOLUTION,MW,ContactInfo,CASNumber,MaterialQuality,LaserLightUsed,TotalAcquisitionTime_s,DataProcessingProcedure,LevelofConfidenceinIdentification,smoother,baseline,DENSITY,new_label,polymer_class,plastic_or_not,url_polymer_class,polymer,url_polymer,url_more_info,snr_deriv,file_id.y
1,1,,,-10183,-10615,<50,200-300,fiber/filament,translucent,"Very close to edge, iffy spectra, may not transmit",,1,V2,a223f4f9ac47b814a3fd0db826724d00,0.685422,0.7,FALSE,5.255285,4,TRUE,FALSE,1,1,BigMeadow_March182022_1_100_1-250001.CSV,CC BY-NC,V2,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,778424020853f900728c25c974ab0e4c,149,133,36 suja,"Suja Sukumaran, Thermo Fisher Scientific",FTIR,cellulose,Other - bioplastic,"Polymer, Minerals, Organic Materials",,,,,,,,,,,,Omnic Correlation: 90,,,,,,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,179.8491,77f837c1640910f2879184d61ef1df48
2,2,,,-10291,-13306,100-200,100-200,fragment,white,Close to edge,,2,V2.1,64040c25d6ef5d0dc7b2e85d6a5f9eee,0.847159,0.7,TRUE,11.46242,4,TRUE,TRUE,2,1,BigMeadow_March182022_1_100_1-250002.CSV,CC BY-NC,V2.1,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,7f52504e3a5077fa342d253d9896589b,173,82,./bienenwachs - bees wax.dx,archaeometrielabor,FTIR,bienenwachs - bees wax,NA,Paints,unknown,,,unknown,,,,unknown,,,,"transmittance spectra of glues, gums and resins used by painters. Downloaded in 2004 from http://www.archaeometrielabor.com, which is now defunct. Currated by Spectragryph.",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,TRANSMITTANCE,transmittance,-1.92881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,307.4728,77f837c1640910f2879184d61ef1df48
3,3,,,-9359,-10966,50-100,50-100,fragment,translucent,,good match for polyvinylsters,3,V2.2,518974b8a93de5af0f536cab7fe506bb,0.875293,0.7,TRUE,27.63386,4,TRUE,TRUE,3,1,BigMeadow_March182022_1_100_1-250003.CSV,CC BY-NC,V2.2,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,eadb58c942954e69702f32a01e5a5e23,130,67,198Primpke,Primpke et al. 2018,FTIR,poly(vinyl stearate),NA,"Polymer, Minerals, Organic Materials",,,,,,,,,,,,https://doi.org/10.1007/s00216-018-1156-x,,,,ATR,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"Scientific Polymer Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyvinylesters,plastic,https://www.polymerdatabase.com/polymer%20index/polyvinylesters.html,POLY(VINYL STEARATE),https://www.polymerdatabase.com/polymers/polyvinylstearate.html,https://www.polymerdatabase.com/polymer%20classes/Polyvinylester%20type.html,2000.112,77f837c1640910f2879184d61ef1df48
4,4,,,-8874,-6931,100-200,300-400,fragment,brown,At edge of filter,,4,V2.3,91cf83b62c2fd5cc32983567746b38ad,0.861425,0.7,TRUE,3.581034,4,FALSE,FALSE,4,1,BigMeadow_March182022_1_100_1-250004.CSV,CC BY-NC,V2.3,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,263ba9205a3cbc97ad995568ba862674,24,120,Reflectance_4_H11_0,Win Cowger and Sebastian Primpke,FTIR,fibre_poplar_down,,,,Reflectance,None,,,,,,,,,,,,,,,,,H11,primpke_245,,4_H11,,,,,,,,,,,,,,fibre_poplar_down,fibre,white,Pappelflaum-Av.0,AWI,ATR,Betec,,natural polymer,natural substance,plant fibre,fibre_poplar_down,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,4,0,,,,,,109,245,245,245,,,14,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,69.58449,77f837c1640910f2879184d61ef1df48
5,5,,,-8566,-7250,<50,100-200,fiber/filament,brown,At edge of filter,,5,V2.4,156f4fe35ac1cb4c6c2d5c72d509312d,0.664498,0.7,FALSE,3.47816,4,FALSE,FALSE,5,1,BigMeadow_March182022_1_100_1-250005.CSV,CC BY-NC,V2.4,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,19d4be771aa5073706c2a12833578e9c,67,18,./Obsidian (Wards).dx kimmel,Kimmel_Center,FTIR,Obsidian (Wards),NA,"Organic Materials, Minerals, Archeology",unknown,,,unknown,,,,unknown,,,,"absorbance of natural & biogenic material of archeological interest. Collected and provided by Prof. Steven Weiner from Kimmel Center for Archaeological Science, Weizmann Institute of Science, Israel",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,ABSORBANCE,absorbance,-1.92847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/01/2007 19:16:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER MATERIAL,not plastic,Any material that doesn't fit within any of the above groups,,,,5877.588,77f837c1640910f2879184d61ef1df48
6,6,,,-8636,-7364,<50,600-700,fiber/filament,brown,"At edge of filter, depth in Z, possibly longer than 700; wraps around itself",,6,V2.5,45289754201ace13c136469dff739ead,0.506373,0.7,FALSE,3.139527,4,FALSE,FALSE,1,2,BigMeadow_March182022_1_100_1-250006.CSV,CC BY-NC,V2.5,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,6e43e554f1cd8a5fe65ae1a237efd2fb,111,57,Murmanite__R060886__Broad_Scan__785__0__unoriented__Raman_Data_RAW__13101,RRUFF,Raman,Murmanite,NA,Minerals,RRUFF,,,,R060886,Na_2_Ti^4+^_2_Na_2_Ti^4+^_2_(Si_2_O_7_)_2_O_4_(H_2_O)_4_,"Lovozero Massif, Kola Peninsula, Russia",Bob Jenkins,The identification of this mineral has been confirmed by single-crystal X-ray diffraction.,rruff.info/R060886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lilac lamellar aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINERAL,not plastic,https://www.dictionary.com/browse/mineral,,,,76.27591,77f837c1640910f2879184d61ef1df48
7,7,,,-8791,-8751,<50,<50,sphere/spheroid,brown,,,7,V2.6,2cf6d3c6d1b7c8c008d9b54c2c533ebc,0.694832,0.7,FALSE,6.970538,4,TRUE,FALSE,2,2,BigMeadow_March182022_1_100_1-250007.CSV,CC BY-NC,V2.6,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,a2ec6c4deed15943fe6e360bea1c77e3,152,37,Pargasite__R060632__Broad_Scan__532__0__unoriented__Raman_Data_RAW__23977,RRUFF,Raman,Pargasite,NA,Minerals,RRUFF,,,,R060632,NaCa_2_(Mg_4_Al)(Si_6_Al_2_)O_22_(OH)_2_,unknown,Gemological Institute of America,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,rruff.info/R060632,(Na_0.61_K_0.34_[box]_0.05_)(Ca_1.82_Na_0.18_)_&#931;=2_(Mg_3.12_Fe^2+^_0.88_)_&#931;=4_(Al_0.78_Ti_0.22_)(Si_6.00_Al_2.00_)_&#931;=8_O_22_((OH)_0.84_F_0.16_)_2_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black cleavage fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINERAL,not plastic,https://www.dictionary.com/browse/mineral,,,,204.9618,77f837c1640910f2879184d61ef1df48
8,8,,,-8148,-7339,<50,500-600,fiber/filament,brown,Depth in Z,,8,V2.7,3c504be02ef514f85c1964548d17c33c,0.671559,0.7,FALSE,4.888584,4,TRUE,FALSE,3,2,BigMeadow_March182022_1_100_1-250008.CSV,CC BY-NC,V2.7,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,2d5cec587ca0989a92a0eedbf4e37a2a,13,50,./Cellulose.dx kimmel,Kimmel_Center,FTIR,Cellulose,Other - bioplastic,"Organic Materials, Minerals, Archeology",unknown,,,unknown,,,,unknown,,,,"absorbance of natural & biogenic material of archeological interest. Collected and provided by Prof. Steven Weiner from Kimmel Center for Archaeological Science, Weizmann Institute of Science, Israel",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,ABSORBANCE,absorbance,-1.92847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2012 15:15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,9484.538,77f837c1640910f2879184d61ef1df48
9,9,,,-8073,-7982,50-100,50-100,fragment,brown,,,9,V2.8,3791ce037452672a717cf7664e83fb88,0.852606,0.7,TRUE,4.49636,4,TRUE,TRUE,4,2,BigMeadow_March182022_1_100_1-250009.CSV,CC BY-NC,V2.8,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,f674c7377feb6b0606c336d01063bb8b,60,46,Reflectance_5_A12_1,Win Cowger and Sebastian Primpke,FTIR,fibre_turf,,,,Reflectance,None,,,,,,,,,,,,,,,,,A12,primpke_301,,5_A12,,,,,,,,,,,,,,fibre_turf,fibre,brown,Torffasern-Av.0,AWI,ATR,Betec,,natural polymer,plastic,plant fibre,fibre_turf,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,5,1,,,,,,190,301,301,301,,,14,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,36.93201,77f837c1640910f2879184d61ef1df48
10,10,,,-8280,-8166,<50,<50,fragment,brown,,,10,V2.9,5fec4ecac41129e8378dacaafc32fc87,0.745884,0.7,TRUE,3.596482,4,FALSE,FALSE,5,2,BigMeadow_March182022_1_100_1-250010.CSV,CC BY-NC,V2.9,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,5e21ee4b1baef55942d0b3fb2a6724e9,44,79,"./Fibers Agave americana (Dvira, Israel).dx kimmel",Kimmel_Center,FTIR,"Fibers Agave americana (Dvira, Israel)",NA,"Organic Materials, Minerals, Archeology",unknown,,,unknown,,,,unknown,,,,"absorbance of natural & biogenic material of archeological interest. Collected and provided by Prof. Steven Weiner from Kimmel Center for Archaeological Science, Weizmann Institute of Science, Israel",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,ABSORBANCE,absorbance,-1.92847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39360.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER MATERIAL,not plastic,Any material that doesn't fit within any of the above groups,,,,4816.578,77f837c1640910f2879184d61ef1df48
