particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
1,1,,,-10078,-11575,50-100,100-200,fragment,translucent,,,1,intensity,20e7623e4a4ef9243806aba7e9cd0133,0.825868877,0.7,TRUE,4.577960592,4,TRUE,TRUE,1,1,CCSL_March142022_a_top_100_1-250001.CSV,CC BY-NC,intensity,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,0697239dec10ed6d9c27cd62a1ab51b0,343.8588661,kimmel_center,ftir,wood fossil (untreated) cave of letters 3916,"organic materials, minerals, archeology",./wood fossil (untreated) cave of letters 3916.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2007 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989279481
2,2,,,-10033,-12945,50-100,100-200,fragment,translucent,,,2,intensity.1,33b07154e329d8dd80f89251d3b3c9ae,0.932736695,0.7,TRUE,23.66246086,4,TRUE,TRUE,2,1,CCSL_March142022_a_top_100_1-250002.CSV,CC BY-NC,intensity.1,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,cc089307805409ee208e1b45bd53825c,12.80183921,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_1,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.9760732
3,3,,,-10233,-13251,<50,300-400,fiber/filament,translucent,,,3,intensity.2,45080641d25796f832aa90164d100f86,0.83916256,0.7,TRUE,5.327331651,4,TRUE,TRUE,3,1,CCSL_March142022_a_top_100_1-250003.CSV,CC BY-NC,intensity.2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,107cdd1574318392ece940c0e9fa95d6,12.44360513,"flopp, de frond et al. 2021",ftir,cotton 13. yellow fiber,polymers,cotton 13. yellow fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16:49:34,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,2/13/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.987585685
4,4,,,-9718,-9560,<50,100-200,fiber/filament,translucent,remainder disappears into the dark,,4,intensity.3,2b2a16175a47b838f36ba51f8c0b0f90,0.724038331,0.7,TRUE,10.53279791,4,TRUE,TRUE,4,1,CCSL_March142022_a_top_100_1-250004.CSV,CC BY-NC,intensity.3,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,75ea52fcc986aa016f67b0ff2c4c0b10,197.9907636,rruff,ftir,hydroxylherderite,minerals,infrared/processed/hydroxylherderite__r050520-1__infrared__infrared_data_processed__1217.txt,rruff,r050520,cabepo_4_(oh),"virgem da lapa, minas gerais, brazil",university of arizona mineral museum,the identification of this mineral has been confirmed by x-ray diffraction and chemical analysis,rruff.info/r050520,ca_1.00_be_1.00_(p_1.00_o_4_)((oh)_0.53_f_0.47_)_=1_ ; be not measured but estimated by difference and charge balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white massive associated with a dark green tourmaline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,mineral,0.988601927
5,5,,,-9194,-7560,<50,100-200,fiber/filament,,"remainder disappears into the dark, color unknown",,5,intensity.4,9c89ac3199ea3feb89470490b9547695,0.817751622,0.7,TRUE,3.848680488,4,FALSE,FALSE,5,1,CCSL_March142022_a_top_100_1-250005.CSV,CC BY-NC,intensity.4,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,41a565e2ecb2ce8045e0bf34b285e21f,3.794580496,win cowger and sebastian primpke,ftir,fibre_indian_raw_cotton,"polymer, minerals, organic materials",reflectance_4_h8_0,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_indian_raw_cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.987148762
6,6,,,-8967,-8607,<50,300-400,fiber/filament,translucent,,,6,intensity.5,e42f6ddbda160f2a9b764f2a3475ce9e,0.809837288,0.7,TRUE,7.653474399,4,TRUE,TRUE,6,1,CCSL_March142022_a_top_100_1-250006.CSV,CC BY-NC,intensity.5,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5913a67e7f9c4cde143d84e97cc142ea,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
7,7,,,-9179,-10945,100-200,200-300,fragment,white ,,,7,intensity.6,b2c045844d84dac75d8c3229375d753a,0.896619153,0.7,TRUE,6.637061922,4,TRUE,TRUE,7,1,CCSL_March142022_a_top_100_1-250007.CSV,CC BY-NC,intensity.6,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,9424b34471ba472ce4c7ca63ddc8bbfe,18.8702294,"flopp, de frond et al. 2021",ftir,c5. pink fiber bundle,polymers,c5. pink fiber bundle,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-09,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,12:09:57,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,7/9/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.970597704
8,8,,,-8772,-15930,50-100,50-100,fragment,brown,,,8,intensity.7,4f1a5f05c949480804c9fbefdc311d82,0.79445432,0.7,TRUE,7.008516623,4,TRUE,TRUE,8,1,CCSL_March142022_a_top_100_1-250008.CSV,CC BY-NC,intensity.7,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,ce49e1bfc84c662b7c68acb28bc9cca5,11.68135962,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e7_1,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.87920922
9,9,,,-8836,-14374,<50,50-100,fragment,white ,,,9,intensity.8,8b652374b67d0b62bfaf6cce01d1c775,0.844414569,0.7,TRUE,12.07630881,4,TRUE,TRUE,1,2,CCSL_March142022_a_top_100_1-250009.CSV,CC BY-NC,intensity.8,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,382f2754a5cb82a52dbd2c7c6c437f1f,10.48965705,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_3,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.965028649
10,10,,,-8760,-14418,<50,50-100,fragment,white ,,,10,intensity.9,5b0dd79fa633a504d5097262ae528e6a,0.800156174,0.7,TRUE,12.52339482,4,TRUE,TRUE,2,2,CCSL_March142022_a_top_100_1-250010.CSV,CC BY-NC,intensity.9,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3eb6bf645db52822e18ccaa3f50f9c33,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
