particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
1,1,,,-9877,-14480,<50,600-700,fiber/filament,red,difficult to focus the particle ,,1,V2.25,6f860673e3fbb6d9f1237742e148391d,0.723645,0.7,TRUE,5.647198,4,TRUE,TRUE,12,2,CUES_March242022_a_top_100_1-250001.CSV,CC BY-NC,V2.25,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5425ee87da66af2ca3c5a359f38d411d,38.55234,rruff,raman,pyroxmangite,minerals,pyroxmangite__r130536__broad_scan__780__0__unoriented__raman_data_processed__24363,rruff,r130536,mn^2+^sio_3_,"taguchi mine, shidara, aichi prefecture, japan",rock currier and marcus origlieri,the identification of this mineral has been confirmed by single-crystal x-ray diffraction.,rruff.info/r130536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tabular gemmy red crystals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,mineral,0.94631
2,2,,,-9777,-15170,<50,600-700,fiber/filament,translucent,,,2,V2.26,2e88aea710c5b0efab8129e2413bc8c3,0.839194,0.7,TRUE,5.659076,4,TRUE,TRUE,13,2,CUES_March242022_a_top_100_1-250002.CSV,CC BY-NC,V2.26,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,669c92958a513213a654489105336feb,7.335604,win cowger and sebastian primpke,ftir,fur_angora_rabbit,"polymer, minerals, organic materials",reflectance_5_c7_1,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,fur,fur_angora_rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.989257
3,3,,,-9629,-15204,50-100,50-100,fragment,brown,,,3,V2.27,f002d5e4d554c38cfea644f0f49bd3ec,0.877927,0.7,TRUE,7.588178,4,TRUE,TRUE,14,2,CUES_March242022_a_top_100_1-250003.CSV,CC BY-NC,V2.27,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5487d8eb7e8a45a2c09092272900cf30,6.511564,usda,ftir,soil,soil,297982xn01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989121
4,4,,,-9967,-13800,50-100,50-100,film,translucent,,,4,V2.28,4121bbdd12205a3e21aabd03e68a81b5,0.839958,0.7,TRUE,19.98042,4,TRUE,TRUE,1,3,CUES_March242022_a_top_100_1-250004.CSV,CC BY-NC,V2.28,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,85bebfcba57e5eb6cb82ebaac341a49c,20.74803,win cowger and sebastian primpke,ftir,pe,"polymer, minerals, organic materials",transmission_7_e6_1,,,,,,,,,transmission,,,,,,,,"roscher, lisa; fehres, annika; reisel, lorenz; halbach, maurits; scholz-bttcher, barbara; gerriets, michaela; badewien, thomas h; shiravani, gholamreza; wurpts, andreas; primpke, sebastian; gerdts, gunnar (2021): abundances of large microplastics (l-mp, 500-5000 m) in surface waters of the weser estuary and the german north sea (april 2018). pangaea, https://doi.org/10.1594/pangaea.938143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyolefins (polyalkenes),plastic,poly(ethylene),polyolefins (polyalkenes),0.973988
5,5,,,-9776,-13445,<50,100-200,fiber/filament,translucent,,,5,V2.29,45080641d25796f832aa90164d100f86,0.852912,0.7,TRUE,4.849677,4,TRUE,TRUE,2,3,CUES_March242022_a_top_100_1-250005.CSV,CC BY-NC,V2.29,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b6cff62da135b060f66ffbc766d7e98f,12.44361,"flopp, de frond et al. 2021",ftir,cotton 13. yellow fiber,polymers,cotton 13. yellow fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16:49:34,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,########,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.987586
6,6,,,-9920,-11887,100-200,100-200,fragment,translucent,translucent-gray,,6,V2.30,8cc79e3af239e30f74dbfbe1e1f698f6,0.921385,0.7,TRUE,44.24355,4,TRUE,TRUE,3,3,CUES_March242022_a_top_100_1-250006.CSV,CC BY-NC,V2.30,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,239de533b2e509d96e786250c7cc7432,118.4212,primpke et al. 2018,ftir,poly(vinyl stearate),"polymer, minerals, organic materials",198primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"scientific polymer products, inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polyvinylesters,plastic,poly(vinyl stearate),other plastic,0.947347
7,7,,,-9507,-11256,<50,100-200,fiber/filament,translucent,,,7,V2.31,e42f6ddbda160f2a9b764f2a3475ce9e,0.89567,0.7,TRUE,9.836685,4,TRUE,TRUE,4,3,CUES_March242022_a_top_100_1-250007.CSV,CC BY-NC,V2.31,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,f4c17600b8aedaf526ca249411dbf0a1,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
8,8,,,-9447,-10732,100-200,400-500,fragment,translucent,,,8,V2.32,27c1fee5a14c675f19054cb46f55d156,0.888528,0.7,TRUE,13.9353,4,TRUE,TRUE,5,3,CUES_March242022_a_top_100_1-250008.CSV,CC BY-NC,V2.32,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1da67f7e73947ca040acb2b05a2f5846,16.61051,aline carvalho,ftir,polyethylene,polymers,polyethylene_209_aline,,,,,,,,,atr,,,,,,"thermo nicolet 670, thermo fisher scientific",,,,,,,,,,,,,,,,4 cm-1,(atr diamond crystal),"400 to 4000 cm-1, applying 8 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atr correction,,,,polyolefins (polyalkenes),plastic,poly(ethylene),polyolefins (polyalkenes),0.974714
9,9,,,-9913,-10512,50-100,100-200,fragment,brown,,,9,V2.33,293e200080e8ab53f39f889253c52b10,0.832792,0.7,TRUE,8.644073,4,TRUE,TRUE,6,3,CUES_March242022_a_top_100_1-250009.CSV,CC BY-NC,V2.33,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,2d6031d4e95a3b35c1f7e08dd308b0e0,6.454096,usda,ftir,soil,soil,73644xs04_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.951752
10,10,,,-9558,-10226,100-200,100-200,fragment,translucent,translucent-gray,,10,V2.34,8b652374b67d0b62bfaf6cce01d1c775,0.852473,0.7,TRUE,11.82982,4,TRUE,TRUE,7,3,CUES_March242022_a_top_100_1-250010.CSV,CC BY-NC,V2.34,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1221de754e7012f9b8256989a4d05005,10.48966,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_3,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.965029
