particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x.x,y.x,file_name,license,col_id,session_id,file_id.x,x.y,y.y,SpectrumID,Organization,SpectrumType,SpectrumIdentity,Polymer.Category,LibraryType,OWNER,SpectralCollectionMode,Preprocessing,InstrumentUsed,RRUFFID,IDEAL CHEMISTRY,LOCALITY,SOURCE,STATUS,URL,MEASURED CHEMISTRY,OtherInformation,JCAMP-DX,YFACTOR,YUNITS,InstrumentMode,DELTAX,Sponsor,Color,Cell,ID,Comment,cell_plate_id,Form..film..foam.pliable..hard.,Brand,Item,Location,Notes,Longest.dimension,Width,Depth,Particle.mass..mg.,Tg..oC.,Tm..oC.,Onset....,Enthalpy..J.g.,Substance,Form,Colour,Filename,SourceDatabase,Method...49,File,QA/QC,Natural /Synthetic,Plastic/other,framework,Abbreviation,Source ID,Method...57,morphology,color,final_polymer_assignment,Citation,Plate,Itteration,SpectralResolution,InstrumentAccessories,Wavenumber_Range,PIN_ID,ORIENTATION,ID merged database,Database ID WWTP Paper/Kirstie/FLOPPE...70,Database ID WWTP Paper/Kirstie/FLOPPE...71,ID (ESM1),Longest_dimension,width,Cluster2018/WWTP,PRESSURE,TEMPERATURE,MaterialForm,MaterialProducer,NumberofAccumulations,TIME,Ratio against background,Truncated,ElementMultiply or ElementDivide,Collection length,Apodization,Bench serial number,Subtraction or Addition,Baseline Correction,Smooth,%Transmittance->Absorbance,Sample gain,Number of background scans,Background gain,Sample spacing,Number of scan points,Resolution points,Number of FFT points,ZPD,Library ID Shortform,Grating,Hole size (nm),Slit (um),Filter (%),Delay (s),DATE,MOLFORM,$NIST SOURCE,$NIST DOC FILE,$NIST PSD FILE,APERTURE,BEAMSPLITTER,DETECTOR (DIA. DET. PORT IN SPHERE),SPHERE DIAMETER,ACQUISITION MODE,SCANNER SPEED,PHASE CORRECTION,ZEROFILLING,WAVENUMBER ACCURACY,LOW PASS FILTER,SWITCH GAIN ON,$NIST ID,COADDED SCANS,PHASE RESOLUTION,MW,ContactInfo,CASNumber,MaterialQuality,LaserLightUsed,TotalAcquisitionTime_s,DataProcessingProcedure,LevelofConfidenceinIdentification,smoother,baseline,DENSITY,new_label,polymer_class,plastic_or_not,url_polymer_class,polymer,url_polymer,url_more_info,snr_deriv,file_id.y
1,1,,,-9877,-14480,<50,600-700,fiber/filament,red,difficult to focus the particle,,1,V2,d9fc2ae995f7ebfc501e162be987b45f,0.640238,0.7,FALSE,4.817464,4,TRUE,FALSE,1,1,CUES_March242022_a_top_100_1-250001.CSV,CC BY-NC,V2,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,5425ee87da66af2ca3c5a359f38d411d,195,179,Infrared/Processed/Quartz__R050125-1__Infrared__Infrared_Data_Processed__790.txt,RRUFF,FTIR,Quartz,NA,Minerals,RRUFF,,,,R050125,SiO_2_,"Linopolis, Minas Gerais, Brazil",Carlos and Paulo Vasconcelos,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,rruff.info/R050125,Si_1.00_O_2_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pale pink group of single crystals, variety rose quartz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MINERAL,not plastic,https://www.dictionary.com/browse/mineral,,,,211.4324,77f837c1640910f2879184d61ef1df48
2,2,,,-9777,-15170,<50,600-700,fiber/filament,translucent,,,2,V2.1,9a1b38bb4d7e6f8307eadc32afba17f7,0.809001,0.7,TRUE,4.720054,4,TRUE,TRUE,2,1,CUES_March242022_a_top_100_1-250002.CSV,CC BY-NC,V2.1,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,669c92958a513213a654489105336feb,10,127,Reflectance_5_C7_1,Win Cowger and Sebastian Primpke,FTIR,fur_angora_rabbit,,,,Reflectance,None,,,,,,,,,,,,,,,,,C7,primpke_15,,5_C7,,,,,,,,,,,,,,fur_angora_rabbit,fibre,white,Angora Kaninchen-Av.0,AWI,ATR,Betec,,natural polymer,natural substance,fur,fur_angora_rabbit,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,5,1,,,,,,19,15,15,15,,,13,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,148.7208,77f837c1640910f2879184d61ef1df48
3,3,,,-9629,-15204,50-100,50-100,fragment,brown,,,3,V2.2,05f8edd43f7f40d94705842dbafb5367,0.854451,0.7,TRUE,7.717328,4,TRUE,TRUE,3,1,CUES_March242022_a_top_100_1-250003.CSV,CC BY-NC,V2.2,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,5487d8eb7e8a45a2c09092272900cf30,210,5,297982XN01_usda,USDA,FTIR,Soil,,,,Reflection,,Bruker Vertex-70 with HTS-XT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm-1,Cooled detector,"600 to 4000 cmâˆ’1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER MATERIAL,not plastic,Any material that doesn't fit within any of the above groups,,,,41.35116,77f837c1640910f2879184d61ef1df48
4,4,,,-9967,-13800,50-100,50-100,film,translucent,,good match to polyolefins,4,V2.3,6fd607f46663a1844b800e00e362dd37,0.838682,0.7,TRUE,16.76631,4,TRUE,TRUE,4,1,CUES_March242022_a_top_100_1-250004.CSV,CC BY-NC,V2.3,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,85bebfcba57e5eb6cb82ebaac341a49c,97,92,Transmission_7_E6_0,Win Cowger and Sebastian Primpke,FTIR,PE,,,,Transmission,None,,,,,,,,,,,,,,,,,E6,Lisa_A6_O_300_53_7,,7_E6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fragment,transparent,PE,"Roscher, Lisa; Fehres, Annika; Reisel, Lorenz; Halbach, Maurits; Scholz-BÃ¶ttcher, Barbara; Gerriets, Michaela; Badewien, Thomas H; Shiravani, Gholamreza; Wurpts, Andreas; Primpke, Sebastian; Gerdts, Gunnar (2021): Abundances of large microplastics (L-MP, 500-5000 Âµm) in surface waters of the Weser estuary and the German North Sea (April 2018). PANGAEA, https://doi.org/10.1594/PANGAEA.938143",7,0,,,,,,,,,,1568,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyolefins (POLYALKENES),plastic,https://www.polymerdatabase.com/polymer%20index/polyalkenes.html,POLY(ETHYLENE),https://www.polymerdatabase.com/polymers/polyethylene.html,https://www.polymerdatabase.com/polymer%20classes/Polyolefin%20type.html,159.3965,77f837c1640910f2879184d61ef1df48
5,5,,,-9776,-13445,<50,100-200,fiber/filament,translucent,,,5,V2.4,0465e1fcf8316a052008827df7c4bc8f,0.860721,0.7,TRUE,5.048249,4,TRUE,TRUE,5,1,CUES_March242022_a_top_100_1-250005.CSV,CC BY-NC,V2.4,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,b6cff62da135b060f66ffbc766d7e98f,150,4,Cotton 13. Yellow Fiber,"FLOPP, De Frond et al. 2021",FTIR,Cotton 13. Yellow Fiber,NA,Polymers,Nicolet,,,Nicolet iN10 MX,,,,Thermo Fisher Scientific Corporation,,,,https://doi.org/10.1021/acs.analchem.1c02549,5.01 $$ Nicolet v. 970,1.00E-08,TRANSMITTANCE,TRANSMITTANCE,1.928548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,32,16:49:34,Ratio against background,Truncated,ElementMultiply or ElementDivide,11.18 sec,N-B strong;,ALK1911898;,,,,,1,32,1,2,8480,4096,8192,4096,,,,,,,########,,,,,,,,,,,Mertz;,,,,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,250.0756,77f837c1640910f2879184d61ef1df48
6,6,,,-9920,-11887,100-200,100-200,fragment,translucent,translucent-gray,"good match to polyvinylesters, but there are other materials that makes up themajority of the matches",6,V2.5,518974b8a93de5af0f536cab7fe506bb,0.906824,0.7,TRUE,49.73933,4,TRUE,TRUE,1,2,CUES_March242022_a_top_100_1-250006.CSV,CC BY-NC,V2.5,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,239de533b2e509d96e786250c7cc7432,130,67,198Primpke,Primpke et al. 2018,FTIR,poly(vinyl stearate),NA,"Polymer, Minerals, Organic Materials",,,,,,,,,,,,https://doi.org/10.1007/s00216-018-1156-x,,,,ATR,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"Scientific Polymer Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyvinylesters,plastic,https://www.polymerdatabase.com/polymer%20index/polyvinylesters.html,POLY(VINYL STEARATE),https://www.polymerdatabase.com/polymers/polyvinylstearate.html,https://www.polymerdatabase.com/polymer%20classes/Polyvinylester%20type.html,2000.112,77f837c1640910f2879184d61ef1df48
7,7,,,-9507,-11256,<50,100-200,fiber/filament,translucent,,,7,V2.6,34e599ab99c4455d53e511afc8919c96,0.926638,0.7,TRUE,11.6804,4,TRUE,TRUE,2,2,CUES_March242022_a_top_100_1-250007.CSV,CC BY-NC,V2.6,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,f4c17600b8aedaf526ca249411dbf0a1,4,44,Transmission_4_H5_2,Win Cowger and Sebastian Primpke,FTIR,fibre_cotton_US_pima,,,,Transmission,None,,,,,,,,,,,,,,,,,H5,primpke_48,,4_H5,,,,,,,,,,,,,,fibre_cotton_US_pima,fibre,white,Baumwolle_US Pima-Av.0,AWI,ATR,Betec,,natural polymer,natural substance,plant fibre,fibre_cotton_US_pima,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,4,2,,,,,,22,48,48,48,,,14,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,65.48949,77f837c1640910f2879184d61ef1df48
8,8,,,-9447,-10732,100-200,400-500,fragment,translucent,,good match to polyolefins,8,V2.7,3df7d355690b3b48308f548c78fd9dbd,0.909813,0.7,TRUE,16.19272,4,TRUE,TRUE,3,2,CUES_March242022_a_top_100_1-250008.CSV,CC BY-NC,V2.7,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,1da67f7e73947ca040acb2b05a2f5846,104,51,polyethylene_178_aline,Aline Carvalho,FTIR,polyethylene,,,,ATR,ATR correction,"Thermo Nicolet 670, Thermo Fisher Scientific",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm-1,(ATR diamond crystal),"400 to 4000 cm-1, applying 8 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyolefins (POLYALKENES),plastic,https://www.polymerdatabase.com/polymer%20index/polyalkenes.html,POLY(ETHYLENE),https://www.polymerdatabase.com/polymers/polyethylene.html,https://www.polymerdatabase.com/polymer%20classes/Polyolefin%20type.html,97.29145,77f837c1640910f2879184d61ef1df48
9,9,,,-9913,-10512,50-100,100-200,fragment,brown,,,9,V2.8,d03e7714ebbf75eabe944994a6b2db2c,0.831175,0.7,TRUE,8.290632,4,TRUE,TRUE,4,2,CUES_March242022_a_top_100_1-250009.CSV,CC BY-NC,V2.8,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,3df50c4a4f97dab79c4ac5169e561b29,169,171,73644XS04_usda,USDA,FTIR,Soil,,,,Reflection,,Bruker Vertex-70 with HTS-XT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm-1,Cooled detector,"600 to 4000 cmâˆ’1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER MATERIAL,not plastic,Any material that doesn't fit within any of the above groups,,,,76.12295,77f837c1640910f2879184d61ef1df48
10,10,,,-9558,-10226,100-200,100-200,fragment,translucent,translucent-gray,"some inconsistencies in peaks, but good overall match to polyvinlesters",10,V2.9,518974b8a93de5af0f536cab7fe506bb,0.841104,0.7,TRUE,11.70936,4,TRUE,TRUE,5,2,CUES_March242022_a_top_100_1-250010.CSV,CC BY-NC,V2.9,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,1221de754e7012f9b8256989a4d05005,130,67,198Primpke,Primpke et al. 2018,FTIR,poly(vinyl stearate),NA,"Polymer, Minerals, Organic Materials",,,,,,,,,,,,https://doi.org/10.1007/s00216-018-1156-x,,,,ATR,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"Scientific Polymer Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyvinylesters,plastic,https://www.polymerdatabase.com/polymer%20index/polyvinylesters.html,POLY(VINYL STEARATE),https://www.polymerdatabase.com/polymers/polyvinylstearate.html,https://www.polymerdatabase.com/polymer%20classes/Polyvinylester%20type.html,2000.112,77f837c1640910f2879184d61ef1df48
