particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
1,1,-9788,-11075,-9897,-11339,100-200,200-300,film,translucent,has some brown coloring ,,1,V2,e012e7cef0b17776e7caa24d815b18c7,0.603774896,0.7,FALSE,3.93431849,4,FALSE,FALSE,1,1,DiamondPeak_March162022_top_100_1-250001.CSV,CC BY-NC,V2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,23ea032acd5c9357375d6aa402570179,6.666376542,win cowger and sebastian primpke,ftir,fibre_grass,"polymer, minerals, organic materials",reflectance_5_a5_3,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.969190833
2,2,-9280,-10417,-9564,-10148,200-300,200-300,fragment,brown,,,2,V2.1,f002d5e4d554c38cfea644f0f49bd3ec,0.854735475,0.7,TRUE,6.733416968,4,TRUE,TRUE,2,1,DiamondPeak_March162022_top_100_1-250002.CSV,CC BY-NC,V2.1,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b44354cda6f9d96a6954f7855db101be,6.511563941,usda,ftir,soil,soil,297982xn01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989121252
3,3,-8145,-12723,-8228,-12709,<50,600-700,fiber/filament,brown,,,3,V2.2,e42f6ddbda160f2a9b764f2a3475ce9e,0.832058991,0.7,TRUE,4.265966498,4,TRUE,TRUE,3,1,DiamondPeak_March162022_top_100_1-250003.CSV,CC BY-NC,V2.2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,97da66ff0918ab051fac1257960ba8b0,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
4,4,-8008,-17321,-8361,-17267,50-100,50-100,film,translucent,, ,4,V2.3,98e873583efb20c618b24d1e01832bb9,0.756370857,0.7,TRUE,7.59641722,4,TRUE,TRUE,4,1,DiamondPeak_March162022_top_100_1-250004.CSV,CC BY-NC,V2.3,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,2d59131521ca431a23ec255e5fbcae9c,6.404421976,win cowger and sebastian primpke,ftir,pp,"polymer, minerals, organic materials",reflectance_7_f8_0,,,,,,,,,reflectance,,,,,,,,"roscher, lisa; fehres, annika; reisel, lorenz; halbach, maurits; scholz-bttcher, barbara; gerriets, michaela; badewien, thomas h; shiravani, gholamreza; wurpts, andreas; primpke, sebastian; gerdts, gunnar (2021): abundances of large microplastics (l-mp, 500-5000 m) in surface waters of the weser estuary and the german north sea (april 2018). pangaea, https://doi.org/10.1594/pangaea.938143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.972758654
5,5,-7814,-11004,-7611,-10988,50-100,50-100,film,brown,,,5,V2.4,23ba1e977a3809742627dfc30621e493,0.895518922,0.7,TRUE,6.949626863,4,TRUE,TRUE,5,1,DiamondPeak_March162022_top_100_1-250005.CSV,CC BY-NC,V2.4,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,fcdb3d7763e401fff766650545b1b7f9,6.596806788,usda,ftir,soil,soil,298004xn03_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.986418763
6,6,-7094,-16506,-7226,-16256,50-100,50-100,fragment,brown,,,6,V2.5,892d681acd19e132a7f6a092a176f18c,0.810459391,0.7,TRUE,6.155683889,4,TRUE,TRUE,6,1,DiamondPeak_March162022_top_100_1-250006.CSV,CC BY-NC,V2.5,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,952182efed11d10d6c1a338a2197a209,9.46425549,primpke et al. 2018,ftir,fibre grass,"polymer, minerals, organic materials",82primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibre,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,organic matter,0.926263083
7,7,-7045,-15091,-7270,-15062,<50,100-200,fiber/filament,brown,,,7,V2.6,01753a31301e577c5d672fece8b9f15c,0.742082865,0.7,TRUE,4.500355356,4,TRUE,TRUE,7,1,DiamondPeak_March162022_top_100_1-250007.CSV,CC BY-NC,V2.6,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4f0c131133e92a49c5e175c803f934bc,4.501920609,win cowger and sebastian primpke,ftir,fibre_indian_raw_cotton,"polymer, minerals, organic materials",reflectance_4_h8_2,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_indian_raw_cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.977185936
8,8,-7003,-8944,-7214,-8838,<50,700-800,fiber/filament,brown,,,8,V2.7,812a06a73d02741023c902603ff6643d,0.630973052,0.7,FALSE,5.645429072,4,TRUE,FALSE,8,1,DiamondPeak_March162022_top_100_1-250008.CSV,CC BY-NC,V2.7,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5f51a27be76077f2d6ad9bef085254a9,33.80707178,rruff,ftir,vladimirivanovite__r130034__infrared__infrared_data_processed__1262,minerals,vladimirivanovite__r130034__infrared__infrared_data_processed__1262,unknown,,,,unknown,,,,absorbance,absorbance,"collection of 882 ftir absorbance spectra of minerals, provided by the rruff project from university of arizona.",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.482177,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/06/2017 10:38:44,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,mineral,0.745163795
9,9,-6397,-19231,-6718,-18957,<50,50-100,fragment,translucent,,,9,V2.8,9c89ac3199ea3feb89470490b9547695,0.8029197,0.7,TRUE,4.276315359,4,TRUE,TRUE,9,1,DiamondPeak_March162022_top_100_1-250009.CSV,CC BY-NC,V2.8,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,c4d0de0442ca6d9c26df2db55ec22f41,3.794580496,win cowger and sebastian primpke,ftir,fibre_indian_raw_cotton,"polymer, minerals, organic materials",reflectance_4_h8_0,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_indian_raw_cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.987148762
10,10,-6372,-12210,-6244,-12007,50-100,50-100,film,brown,,,10,V2.9,e42f6ddbda160f2a9b764f2a3475ce9e,0.816186174,0.7,TRUE,4.531149059,4,TRUE,TRUE,10,1,DiamondPeak_March162022_top_100_1-250010.CSV,CC BY-NC,V2.9,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,2ff3e31e1d4f7d4c73bbfe24dd111ee6,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
