particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
1,1,-9725,-13223,-9551,-13118,100-200,100-200,fragment,brown,,,1,V2.24,d38fd6ca8fa51bcc0aa044add23b3826,0.839482252,0.7,TRUE,4.967059457,4,TRUE,TRUE,1,3,MeeksBay_March232022_1_100_1-250001.CSV,CC BY-NC,V2.24,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,e7ce66b24144779f2becec35477e2d1e,339.7834272,kimmel_center,ftir,"wood tamarisk modern timna, israel","organic materials, minerals, archeology","./wood tamarisk modern timna, israel.dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/2/2007 9:39,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other material,0.988910223
2,2,-9643,-14121,-9922,-14677,100-200,100-200,fragment,brown,,,2,V2.25,168ad6bbe951e5da24840ca141ee33d0,0.705930688,0.7,TRUE,10.53347455,4,TRUE,TRUE,2,3,MeeksBay_March232022_1_100_1-250002.CSV,CC BY-NC,V2.25,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1373a3523102690988ee2e8d2f5a96ed,7.136739679,win cowger and sebastian primpke,ftir,pp,"polymer, minerals, organic materials",reflectance_7_g10_0,,,,,,,,,reflectance,,,,,,,,"roscher, lisa; fehres, annika; reisel, lorenz; halbach, maurits; scholz-bttcher, barbara; gerriets, michaela; badewien, thomas h; shiravani, gholamreza; wurpts, andreas; primpke, sebastian; gerdts, gunnar (2021): abundances of large microplastics (l-mp, 500-5000 m) in surface waters of the weser estuary and the german north sea (april 2018). pangaea, https://doi.org/10.1594/pangaea.938143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.913668056
3,3,-9444,-11266,-8699,-11187,50-100,50-100,fragment,white ,,,3,V2.26,5b0dd79fa633a504d5097262ae528e6a,0.856008996,0.7,TRUE,10.36653576,4,TRUE,TRUE,3,3,MeeksBay_March232022_1_100_1-250003.CSV,CC BY-NC,V2.26,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,89a743d40d4f1fd4ec48e0e0eeb82ae6,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
4,4,-9377,-11472,-8169,-10847,<50,50-100,fragment,black,,,4,V2.27,c715f54ec194783e02adebbabbf527f4,0.758752173,0.7,TRUE,6.387186704,4,TRUE,TRUE,4,3,MeeksBay_March232022_1_100_1-250004.CSV,CC BY-NC,V2.27,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1e252dc2401d7e7ab91aa13f1919503d,6.507491644,usda,ftir,soil,soil,101733xs01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.984563924
5,5,-9351,-10042,-9833,-9577,50-100,100-200,fragment,white ,,,5,V2.28,ce50f6e46198066847def3525d475688,0.853925793,0.7,TRUE,6.7780846,4,TRUE,TRUE,5,3,MeeksBay_March232022_1_100_1-250005.CSV,CC BY-NC,V2.28,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,441bdd410469cc023b423f26a2ec0de7,14.0054101,win cowger and sebastian primpke,ftir,pp,"polymer, minerals, organic materials",atr_7_f8_1,,,,,,,,,atr,,,,,,,,"roscher, lisa; fehres, annika; reisel, lorenz; halbach, maurits; scholz-bttcher, barbara; gerriets, michaela; badewien, thomas h; shiravani, gholamreza; wurpts, andreas; primpke, sebastian; gerdts, gunnar (2021): abundances of large microplastics (l-mp, 500-5000 m) in surface waters of the weser estuary and the german north sea (april 2018). pangaea, https://doi.org/10.1594/pangaea.938143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.989041871
6,6,-8913,-16301,-8986,-16282,<50,500-600,fiber/filament,brown,,,6,V2.29,e42f6ddbda160f2a9b764f2a3475ce9e,0.759999555,0.7,TRUE,4.2178198,4,TRUE,TRUE,6,3,MeeksBay_March232022_1_100_1-250006.CSV,CC BY-NC,V2.29,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,916962ea074384c141399e26c73441d7,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
7,7,-8511,-14105,-8425,-14071,<50,50-100,fragment,white ,,,7,V2.30,04d82475ebdc03488aa3bd048e5adf3a,0.865653483,0.7,TRUE,9.261923719,4,TRUE,TRUE,7,3,MeeksBay_March232022_1_100_1-250007.CSV,CC BY-NC,V2.30,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,a081bbde6aa3160c85fe59f9a6198e0e,15.54713474,primpke et al. 2018,ftir,cellulose,"polymer, minerals, organic materials",29primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powder,"scientific polymer products, inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,organic matter,0.987008457
8,8,-8430,-16541,-9067,-16630,<50,300-400,fiber/filament,translucent,,,8,V2.31,45080641d25796f832aa90164d100f86,0.82027951,0.7,TRUE,5.502998634,4,TRUE,TRUE,8,3,MeeksBay_March232022_1_100_1-250008.CSV,CC BY-NC,V2.31,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,93bb7698eccc0d0676f138c8c808f231,12.44360513,"flopp, de frond et al. 2021",ftir,cotton 13. yellow fiber,polymers,cotton 13. yellow fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,16:49:34,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,2/13/2020,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.987585685
9,9,-8354,-8039,-8914,-8136,<50,500-600,fiber/filament,translucent,,,9,V2.32,e42f6ddbda160f2a9b764f2a3475ce9e,0.871649632,0.7,TRUE,9.482621796,4,TRUE,TRUE,9,3,MeeksBay_March232022_1_100_1-250009.CSV,CC BY-NC,V2.32,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,6aaf753f3309c3fd7582eb95f68f6e6e,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
10,10,-8068,-11091,-8099,-9930,50-100,50-100,film,brown,,,10,V2.33,5b0dd79fa633a504d5097262ae528e6a,0.766975202,0.7,TRUE,7.868847101,4,TRUE,TRUE,10,3,MeeksBay_March232022_1_100_1-250010.CSV,CC BY-NC,V2.33,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,759d537914569a3a91a19e4cd16ed755,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
