particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,notes,rows,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
1,1,,,-10468,-10998,50-100,50-100,fragment,,"unknown color, in the dark",,,1,V2.25,45e6b3d089c8f1eb3526bf27c9cdb633,0.773125,0.7,TRUE,2.95986,4,FALSE,FALSE,9,2,MtRose_March162022_a_100_1-250001.CSV,CC BY-NC,V2.25,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3a8c63eca51f36b9c16d9472ebbade9c,15.06957,kimmel_center,ftir,recent pollen 3 pinus,"organic materials, minerals, archeology",./pollen 3 pinus recent.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.96423,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.904896
2,2,,,-9812,-16046,<50,50-100,fiber/filament,translucent,full length uknown ,,,2,V2.26,f121ee703a9eb3bbd6b0e5497f4a9f7a,0.841217,0.7,TRUE,4.622798,4,TRUE,TRUE,10,2,MtRose_March162022_a_100_1-250002.CSV,CC BY-NC,V2.26,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,0f1845089fa3d7949bc23050ae7a0c57,3.736104,win cowger and sebastian primpke,ftir,fibre_cotton_combers,"polymer, minerals, organic materials",transmission_4_h4_0,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_combers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.869388
3,3,,,-9727,-15009,50-100,50-100,fragment,translucent,,good match for polyolefins,,3,V2.27,d4f1e78d8d4bc280e020c6212b7d15d7,0.884506,0.7,TRUE,9.027784,4,TRUE,TRUE,11,2,MtRose_March162022_a_100_1-250003.CSV,CC BY-NC,V2.27,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7407b586ae68a660dd618ea8cc957130,10.64638,primpke et al. 2018,ftir,broodcomb,"polymer, minerals, organic materials",16primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chunk,"institut fr bienenkunde, celle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,"polystyrenes (polyphenylethylenes, -methylstyrene)",0.895641
4,4,,,-9763,-13111,<50,400-500,fiber/filament,translucent,,,,4,V2.28,e42f6ddbda160f2a9b764f2a3475ce9e,0.848354,0.7,TRUE,7.633734,4,TRUE,TRUE,12,2,MtRose_March162022_a_100_1-250004.CSV,CC BY-NC,V2.28,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,221101799b16fefa20271a97fc43631e,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
5,5,,,-9652,-12577,<50,400-500,fiber/filament,translucent,,,,5,V2.29,f121ee703a9eb3bbd6b0e5497f4a9f7a,0.86117,0.7,TRUE,4.939829,4,TRUE,TRUE,13,2,MtRose_March162022_a_100_1-250005.CSV,CC BY-NC,V2.29,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,edf4c4addb94226bd6bf54c80162b9ee,3.736104,win cowger and sebastian primpke,ftir,fibre_cotton_combers,"polymer, minerals, organic materials",transmission_4_h4_0,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_combers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.869388
6,6,,,-9868,-10065,<50,300-400,fiber/filament,translucent,has a blue tint but mostly translucent,,,6,V2.30,01753a31301e577c5d672fece8b9f15c,0.843232,0.7,TRUE,5.577256,4,TRUE,TRUE,14,2,MtRose_March162022_a_100_1-250006.CSV,CC BY-NC,V2.30,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,de331b38270de0485cb1d6ea1b34e3aa,4.501921,win cowger and sebastian primpke,ftir,fibre_indian_raw_cotton,"polymer, minerals, organic materials",reflectance_4_h8_2,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_indian_raw_cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.977186
7,7,,,-9892,-9360,200-300,500-600,fragment,brown,translucent-brown,,,7,V2.31,45e6b3d089c8f1eb3526bf27c9cdb633,0.731941,0.7,TRUE,3.575734,4,FALSE,FALSE,15,2,MtRose_March162022_a_100_1-250007.CSV,CC BY-NC,V2.31,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,373af0be6b83a121bde90f4e36db0255,15.06957,kimmel_center,ftir,recent pollen 3 pinus,"organic materials, minerals, archeology",./pollen 3 pinus recent.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.96423,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.904896
8,8,,,-9060,-7465,100-200,100-200,fragment,white ,,,,8,V2.32,df0424380ded77d13bdcc87cc5d0b325,0.850117,0.7,TRUE,12.77931,4,TRUE,TRUE,16,2,MtRose_March162022_a_100_1-250008.CSV,CC BY-NC,V2.32,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7c651055960c9a0be1bc5a915b9f9635,17.93041,kimmel_center,ftir,egg yolk,"organic materials, minerals, archeology",./egg yolk.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,polyamides (polylactams),0.913833
9,9,,,-8868,-7332,50-100,100-200,fragment,brown,,,,9,V2.33,91228e9c8cb77e1ead9eca90da3c7d07,0.842127,0.7,TRUE,5.319573,4,TRUE,TRUE,17,2,MtRose_March162022_a_100_1-250009.CSV,CC BY-NC,V2.33,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4ff35dbb2004e0371e65eb7d585df158,7.481846,win cowger and sebastian primpke,ftir,fibre_grass,"polymer, minerals, organic materials",reflectance_5_a5_2,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.969191
10,10,,,-9252,-10921,50-100,50-100,fragment,black,,,,10,V2.34,1cefff287a1e16161a32ac43e9ec3bf0,0.862054,0.7,TRUE,10.15313,4,TRUE,TRUE,1,3,MtRose_March162022_a_100_1-250010.CSV,CC BY-NC,V2.34,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,994f27de52afa351949114b2f4c690b2,7.563142,usda,ftir,soil,soil,73645xs01_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.985444
