particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other observation,notes,rows,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x.x,y.x,file_name,license,col_id,session_id,file_id.x,x.y,y.y,SpectrumID,Organization,SpectrumType,SpectrumIdentity,Polymer.Category,LibraryType,OWNER,SpectralCollectionMode,Preprocessing,InstrumentUsed,RRUFFID,IDEAL CHEMISTRY,LOCALITY,SOURCE,STATUS,URL,MEASURED CHEMISTRY,OtherInformation,JCAMP-DX,YFACTOR,YUNITS,InstrumentMode,DELTAX,Sponsor,Color,Cell,ID,Comment,cell_plate_id,Form..film..foam.pliable..hard.,Brand,Item,Location,Notes,Longest.dimension,Width,Depth,Particle.mass..mg.,Tg..oC.,Tm..oC.,Onset....,Enthalpy..J.g.,Substance,Form,Colour,Filename,SourceDatabase,Method...49,File,QA/QC,Natural /Synthetic,Plastic/other,framework,Abbreviation,Source ID,Method...57,morphology,color,final_polymer_assignment,Citation,Plate,Itteration,SpectralResolution,InstrumentAccessories,Wavenumber_Range,PIN_ID,ORIENTATION,ID merged database,Database ID WWTP Paper/Kirstie/FLOPPE...70,Database ID WWTP Paper/Kirstie/FLOPPE...71,ID (ESM1),Longest_dimension,width,Cluster2018/WWTP,PRESSURE,TEMPERATURE,MaterialForm,MaterialProducer,NumberofAccumulations,TIME,Ratio against background,Truncated,ElementMultiply or ElementDivide,Collection length,Apodization,Bench serial number,Subtraction or Addition,Baseline Correction,Smooth,%Transmittance->Absorbance,Sample gain,Number of background scans,Background gain,Sample spacing,Number of scan points,Resolution points,Number of FFT points,ZPD,Library ID Shortform,Grating,Hole size (nm),Slit (um),Filter (%),Delay (s),DATE,MOLFORM,$NIST SOURCE,$NIST DOC FILE,$NIST PSD FILE,APERTURE,BEAMSPLITTER,DETECTOR (DIA. DET. PORT IN SPHERE),SPHERE DIAMETER,ACQUISITION MODE,SCANNER SPEED,PHASE CORRECTION,ZEROFILLING,WAVENUMBER ACCURACY,LOW PASS FILTER,SWITCH GAIN ON,$NIST ID,COADDED SCANS,PHASE RESOLUTION,MW,ContactInfo,CASNumber,MaterialQuality,LaserLightUsed,TotalAcquisitionTime_s,DataProcessingProcedure,LevelofConfidenceinIdentification,smoother,baseline,DENSITY,new_label,polymer_class,plastic_or_not,url_polymer_class,polymer,url_polymer,url_more_info,snr_deriv,file_id.y,
1,1,,,-10468,-10998,50-100,50-100,fragment,,"unknown color, in the dark",,1,V2,3746544bc662c243c974b40c15567e54,0.75742,0.7,TRUE,2.633655,4,FALSE,FALSE,1,1,MtRose_March162022_a_100_1-250001.CSV,CC BY-NC,V2,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,7979a4f38f331e15d8626b3bf08c0e70,6,46,./Wood fossil (Untreated) Cave of Letters 3916.dx kimmel,Kimmel_Center,FTIR,Wood fossil (Untreated) Cave of Letters 3916,NA,"Organic Materials, Minerals, Archeology",unknown,,,unknown,,,,unknown,,,,"absorbance of natural & biogenic material of archeological interest. Collected and provided by Prof. Steven Weiner from Kimmel Center for Archaeological Science, Weizmann Institute of Science, Israel",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,ABSORBANCE,absorbance,-1.92847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2007 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER MATERIAL,not plastic,Any material that doesn't fit within any of the above groups,,,,14541.42,77f837c1640910f2879184d61ef1df48,
2,2,,,-9812,-16046,<50,50-100,fiber/filament,translucent,full length uknown,,2,V2.1,7125b4067cec78eadcd3da7e744ca260,0.866395,0.7,TRUE,6.310188,4,TRUE,TRUE,2,1,MtRose_March162022_a_100_1-250002.CSV,CC BY-NC,V2.1,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,0f1845089fa3d7949bc23050ae7a0c57,87,93,Transmission_4_H4_0,Win Cowger and Sebastian Primpke,FTIR,fibre_cotton_combers,,,,Transmission,None,,,,,,,,,,,,,,,,,H4,primpke_47,,4_H4,,,,,,,,,,,,,,fibre_cotton_combers,fibre,white,Baumwolle_Combers-Av.0,AWI,ATR,Betec,,natural polymer,natural substance,plant fibre,fibre_cotton_combers,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,4,0,,,,,,20,47,47,47,,,14,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,58.95963,77f837c1640910f2879184d61ef1df48,
3,3,,,-9727,-15009,50-100,50-100,fragment,translucent,,good match for polyolefins,3,V2.2,3df7d355690b3b48308f548c78fd9dbd,0.877674,0.7,TRUE,9.239264,4,TRUE,TRUE,3,1,MtRose_March162022_a_100_1-250003.CSV,CC BY-NC,V2.2,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,7407b586ae68a660dd618ea8cc957130,104,51,polyethylene_178_aline,Aline Carvalho,FTIR,polyethylene,,,,ATR,ATR correction,"Thermo Nicolet 670, Thermo Fisher Scientific",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm-1,(ATR diamond crystal),"400 to 4000 cm-1, applying 8 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyolefins (POLYALKENES),plastic,https://www.polymerdatabase.com/polymer%20index/polyalkenes.html,POLY(ETHYLENE),https://www.polymerdatabase.com/polymers/polyethylene.html,https://www.polymerdatabase.com/polymer%20classes/Polyolefin%20type.html,97.29145,77f837c1640910f2879184d61ef1df48,
4,4,,,-9763,-13111,<50,400-500,fiber/filament,translucent,,,4,V2.3,34e599ab99c4455d53e511afc8919c96,0.887896,0.7,TRUE,10.58674,4,TRUE,TRUE,4,1,MtRose_March162022_a_100_1-250004.CSV,CC BY-NC,V2.3,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,221101799b16fefa20271a97fc43631e,4,44,Transmission_4_H5_2,Win Cowger and Sebastian Primpke,FTIR,fibre_cotton_US_pima,,,,Transmission,None,,,,,,,,,,,,,,,,,H5,primpke_48,,4_H5,,,,,,,,,,,,,,fibre_cotton_US_pima,fibre,white,Baumwolle_US Pima-Av.0,AWI,ATR,Betec,,natural polymer,natural substance,plant fibre,fibre_cotton_US_pima,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,4,2,,,,,,22,48,48,48,,,14,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,65.48949,77f837c1640910f2879184d61ef1df48,
5,5,,,-9652,-12577,<50,400-500,fiber/filament,translucent,,,5,V2.4,7125b4067cec78eadcd3da7e744ca260,0.867459,0.7,TRUE,6.15072,4,TRUE,TRUE,5,1,MtRose_March162022_a_100_1-250005.CSV,CC BY-NC,V2.4,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,a41b9dcec0af60dd4cac54397b1ddda1,87,93,Transmission_4_H4_0,Win Cowger and Sebastian Primpke,FTIR,fibre_cotton_combers,,,,Transmission,None,,,,,,,,,,,,,,,,,H4,primpke_47,,4_H4,,,,,,,,,,,,,,fibre_cotton_combers,fibre,white,Baumwolle_Combers-Av.0,AWI,ATR,Betec,,natural polymer,natural substance,plant fibre,fibre_cotton_combers,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,4,0,,,,,,20,47,47,47,,,14,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,58.95963,77f837c1640910f2879184d61ef1df48,
6,6,,,-9868,-10065,<50,300-400,fiber/filament,translucent,has a blue tint but mostly translucent,,6,V2.5,3c504be02ef514f85c1964548d17c33c,0.820552,0.7,TRUE,6.105534,4,TRUE,TRUE,6,1,MtRose_March162022_a_100_1-250006.CSV,CC BY-NC,V2.5,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,de331b38270de0485cb1d6ea1b34e3aa,13,50,./Cellulose.dx kimmel,Kimmel_Center,FTIR,Cellulose,Other - bioplastic,"Organic Materials, Minerals, Archeology",unknown,,,unknown,,,,unknown,,,,"absorbance of natural & biogenic material of archeological interest. Collected and provided by Prof. Steven Weiner from Kimmel Center for Archaeological Science, Weizmann Institute of Science, Israel",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,ABSORBANCE,absorbance,-1.92847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2012 15:15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,9484.538,77f837c1640910f2879184d61ef1df48,
7,7,,,-9892,-9360,200-300,500-600,fragment,brown,translucent-brown,,7,V2.6,9b4c51211a2220d013e9549c18b4ac26,0.709035,0.7,TRUE,3.276263,4,FALSE,FALSE,7,1,MtRose_March162022_a_100_1-250007.CSV,CC BY-NC,V2.6,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,373af0be6b83a121bde90f4e36db0255,24,128,./Pollen 3 Pinus recent.dx kimmel,Kimmel_Center,FTIR,Recent Pollen 3 Pinus,NA,"Organic Materials, Minerals, Archeology",unknown,,,unknown,,,,unknown,,,,"absorbance of natural & biogenic material of archeological interest. Collected and provided by Prof. Steven Weiner from Kimmel Center for Archaeological Science, Weizmann Institute of Science, Israel",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,ABSORBANCE,absorbance,-0.96423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER MATERIAL,not plastic,Any material that doesn't fit within any of the above groups,,,,574.1154,77f837c1640910f2879184d61ef1df48,
8,8,,,-9060,-7465,100-200,100-200,fragment,white,,,8,V2.7,64040c25d6ef5d0dc7b2e85d6a5f9eee,0.832451,0.7,TRUE,13.74248,4,TRUE,TRUE,8,1,MtRose_March162022_a_100_1-250008.CSV,CC BY-NC,V2.7,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,7c651055960c9a0be1bc5a915b9f9635,173,82,./bienenwachs - bees wax.dx,archaeometrielabor,FTIR,bienenwachs - bees wax,NA,Paints,unknown,,,unknown,,,,unknown,,,,"transmittance spectra of glues, gums and resins used by painters. Downloaded in 2004 from http://www.archaeometrielabor.com, which is now defunct. Currated by Spectragryph.",5.01 $$ datafile exported by Spectragryph v.1.2.15,1,TRANSMITTANCE,transmittance,-1.92881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,307.4728,77f837c1640910f2879184d61ef1df48,
9,9,,,-8868,-7332,50-100,100-200,fragment,brown,,,9,V2.8,3791ce037452672a717cf7664e83fb88,0.811812,0.7,TRUE,5.693311,4,TRUE,TRUE,1,2,MtRose_March162022_a_100_1-250009.CSV,CC BY-NC,V2.8,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,72edc99d19d3e7f2ccb3a98d17661e55,60,46,Reflectance_5_A12_1,Win Cowger and Sebastian Primpke,FTIR,fibre_turf,,,,Reflectance,None,,,,,,,,,,,,,,,,,A12,primpke_301,,5_A12,,,,,,,,,,,,,,fibre_turf,fibre,brown,Torffasern-Av.0,AWI,ATR,Betec,,natural polymer,plastic,plant fibre,fibre_turf,,ATR,,,,Cowger et al. 'High Throughput FTIR Analysis of Macro and Microplastics with Plate Readers' in prep,5,1,,,,,,190,301,301,301,,,14,,,Faserinstitut Bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORGANIC MATTER,not plastic,"https://en.wikipedia.org/wiki/Organic_matter#:~:text=Organic%20matter%2C%20organic%20material%2C%20or,such%20as%20plants%20and%20animals.",,,,36.93201,77f837c1640910f2879184d61ef1df48,
10,10,,,-9252,-10921,50-100,50-100,fragment,black,,,10,V2.9,35663a899656c80a57fe14fb6ebcdce6,0.841417,0.7,TRUE,7.883903,4,TRUE,TRUE,2,2,MtRose_March162022_a_100_1-250010.CSV,CC BY-NC,V2.9,1400896ecb2ca13bbf30604dbad290da/eabb21fc5d29644c046230fd2192d83f,994f27de52afa351949114b2f4c690b2,86,44,297969XN01_usda,USDA,FTIR,Soil,,,,Reflection,,Bruker Vertex-70 with HTS-XT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 cm-1,Cooled detector,"600 to 4000 cmâˆ’1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER MATERIAL,not plastic,Any material that doesn't fit within any of the above groups,,,,59.50389,77f837c1640910f2879184d61ef1df48,
