particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
1,1,-9794,-13826,-10069,-14433,50-100,100-200,fragment,translucent,,,1,V2,94b2ccb77da25b58e8da3dd45ced8292,0.77984033,0.7,TRUE,4.528041425,4,TRUE,TRUE,1,1,PaigeMeadow_March162022_top_100_1-250001.CSV,CC BY-NC,V2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,a6043e0d9fd6cabbfa5ed3411ce9e274,8.046903816,"suja sukumaran, thermo fisher scientific",ftir,cellulose,"polymer, minerals, organic materials",46 suja,,,,,,,,,,,omnic correlation: 90,,,,,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,organic matter,0.905512656
2,2,-9547,-12761,-9337,-12751,50-100,50-100,fragment,translucent,translucent-white,,2,V2.1,a890055c4607a8186d78f02c089931b1,0.867342146,0.7,TRUE,4.034300288,4,TRUE,TRUE,2,1,PaigeMeadow_March162022_top_100_1-250002.CSV,CC BY-NC,V2.1,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,362cd0e7a2161f052214ccffb1cb588c,3.738650002,win cowger and sebastian primpke,ftir,fibre_kapok,"polymer, minerals, organic materials",transmission_5_a8_1,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_kapok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.872550302
3,3,-9363,-10939,-9638,-11095,50-100,50-100,fragment,black,,,3,V2.2,17f49d6a44eda2ff7a94f1870f279cd7,0.829909382,0.7,TRUE,6.701988242,4,TRUE,TRUE,3,1,PaigeMeadow_March162022_top_100_1-250003.CSV,CC BY-NC,V2.2,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,243092736cb81d9e8fd55400d84f8ba3,6.272627531,usda,ftir,soil,soil,78816xs04_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.98079675
4,4,-9275,-9652,-9586,-9535,50-100,50-100,fragment,translucent,translucent-gray,,4,V2.3,5b0dd79fa633a504d5097262ae528e6a,0.921460105,0.7,TRUE,12.5030383,4,TRUE,TRUE,4,1,PaigeMeadow_March162022_top_100_1-250004.CSV,CC BY-NC,V2.3,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,6665f85658ac9af853821f36ed628573,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
5,5,-9236,-10020,-9328,-10017,100-200,100-200,fragment,translucent,,,5,V2.4,5b0dd79fa633a504d5097262ae528e6a,0.735297709,0.7,TRUE,8.922141222,4,TRUE,TRUE,5,1,PaigeMeadow_March162022_top_100_1-250005.CSV,CC BY-NC,V2.4,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,fb7ced93aaaacfd4230517679bad0f8e,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
6,6,-9028,-12556,-9202,-12538,<50,200-300,fiber/filament,brown,brown-translucent,,6,V2.5,5d4baa024bcec45603f6e2bb4c399975,0.848248656,0.7,TRUE,4.331559746,4,TRUE,TRUE,6,1,PaigeMeadow_March162022_top_100_1-250006.CSV,CC BY-NC,V2.5,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,869ee10252c746b87d48db901193eeec,8.128733448,primpke et al. 2018,ftir,fibre flax,"polymer, minerals, organic materials",79primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibre,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,organic matter,0.985910274
7,7,-8997,-11796,-8697,-11620,<50,400-500,fiber/filament,translucent,,,7,V2.6,e42f6ddbda160f2a9b764f2a3475ce9e,0.918432732,0.7,TRUE,6.136130575,4,TRUE,TRUE,7,1,PaigeMeadow_March162022_top_100_1-250007.CSV,CC BY-NC,V2.6,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,281c37c0aedef1830d6fb64327ad572e,5.798566739,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313321
8,8,-8587,-12707,-8459,-12936,200-300,300-400,fragment,brown,,,8,V2.7,ee43ac68a519a1d0504678a0c7fe79ca,0.831671424,0.7,TRUE,5.928074535,4,TRUE,TRUE,8,1,PaigeMeadow_March162022_top_100_1-250008.CSV,CC BY-NC,V2.7,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b9f209cca7772e70bb1e0b3021081a6b,15.84976676,win cowger and sebastian primpke,ftir,fibre_urtica_dioica_l_conar_fibra,"polymer, minerals, organic materials",reflectance_5_a3_2,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_urtica_dioica_l_conar_fibra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.972765787
9,9,-8398,-14317,-8429,-14990,100-200,100-200,fragment,brown,,,9,V2.8,f15ed4ed0ef2013b846882420838e60e,0.740069957,0.7,TRUE,9.269207248,4,TRUE,TRUE,9,1,PaigeMeadow_March162022_top_100_1-250009.CSV,CC BY-NC,V2.8,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,48a9f5dd2dc56c9fcbe05fd0caadc5c5,9.057367626,win cowger and sebastian primpke,ftir,fibre_cocoanut,"polymer, minerals, organic materials",reflectance_5_a2_3,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cocoanut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.986783679
10,10,-7925,-13038,-7785,-12997,100-200,100-200,film,black,oil slick-like,,10,V2.9,5b0dd79fa633a504d5097262ae528e6a,0.912924945,0.7,TRUE,19.46073708,4,TRUE,TRUE,10,1,PaigeMeadow_March162022_top_100_1-250010.CSV,CC BY-NC,V2.9,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,54129da777074781d4674848d2967b18,487.5064542,kimmel_center,ftir,amber (baltic; a. nissenbaum),"organic materials, minerals, archeology","./amber (baltic, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/2/2007 9:13,,,,,,,,,,,,,,,,,,,,,,,,mineral,not plastic,,other material,0.98971893
